site_id,x,y,power,category
1,50,250,36306.99,Low
1,50,300,36674.17,Low
1,200,0,36990.8,Low
1,200,0,37369.63,Low
1,0,100,37369.63,Low
1,0,50,37404.9,Low
1,346,37.36,37725.4,Low
1,50,0,37730.57,Low
1,200,0,38137.7,Low
1,200,0,38159.97,Low
1,0,100,38159.97,Low
1,400,0,38205.59,Low
1,0,100,38277.59,Low
1,400,0,38450.99,Low
1,200,0,38523.5,Low
1,232.39,112.15,38573.49,Low
1,232.4,112.1,38619.22,Low
1,50,250,38639.34,Low
1,200,0,38740.91,Low
1,400,0,38759.39,Low
1,50,150,38763.07,Low
1,200,200,38779.25,Low
1,200,200,38779.25,Low
1,300,50,38831.2,Low
1,146.11,37.43,38920.14,Low
1,346.01,37.39,38946.48,Low
1,350,200,39022.43,Low
1,200,200,39037.79,Low
1,50,300,39073.25,Low
1,400,0,39086.29,Low
1,45,990,114019.18,High
1,45,990,114041.07,High
1,45,990,114041.07,High
1,45,990,114051.49,High
1,45,990,114051.49,High
1,45,990,114051.49,High
1,45,990,114051.49,High
1,45,990,114051.49,High
1,45,990,114051.49,High
1,45,990,114053.74,High
1,45,990,114053.74,High
1,45,990,114053.74,High
1,45,990,114053.74,High
1,45,990,114053.74,High
1,45,990,114053.74,High
1,45,990,114053.74,High
1,45,990,114053.74,High
1,45,990,114053.74,High
1,45,990,114053.74,High
1,45,990,114053.74,High
1,45,990,114082.45,High
1,45,990,114082.45,High
1,45,990,114104.72,High
1,45,990,114104.72,High
1,45,990,114194.52,High
1,45,990,114194.52,High
1,45,990,114194.52,High
1,45,990,114194.52,High
1,45,990,114194.52,High
1,45,990,114194.52,High
2,0,0,27161.33,Low
2,89.75,74.99,28447.85,Low
2,146.01,37.49,28956.9,Low
2,32.43,112.26,28964.33,Low
2,50,0,29082.99,Low
2,345.95,37.46,29096.72,Low
2,89.85,74.92,29222.23,Low
2,146.05,37.39,29320.86,Low
2,147.06,0,29411.69,Low
2,200,200,29415.29,Low
2,400,0,29548.48,Low
2,200,0,29619.39,Low
2,200,0,29619.39,Low
2,200,0,29689.71,Low
2,32.16,111.95,29821.53,Low
2,32.16,111.95,29821.53,Low
2,200,0,29839.94,Low
2,232.24,111.84,29855,Low
2,146.02,37.49,29888.45,Low
2,89.76,75.06,29960.22,Low
2,32.42,112.29,29979.88,Low
2,200,0,30043.61,Low
2,77,17.88,30110.83,Low
2,89.64,74.88,30133.45,Low
2,89.64,74.88,30133.45,Low
2,200,0,30136.25,Low
2,89.76,75.06,30189.76,Low
2,32.32,112.14,30214.59,Low
2,32.32,112.14,30237.88,Low
2,32.32,112.14,30237.88,Low
2,1146.11,637.46,105612.34,High
2,1146.11,637.46,105612.34,High
2,1146.11,637.46,105612.34,High
2,1146.11,637.46,105612.34,High
2,1146.11,637.46,105612.34,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,1146.11,637.46,105756.58,High
2,748.45,1284.62,105857.85,High
2,1350,100,106453.43,High
2,161.21,1253.25,107856.27,High
2,252.97,1138.07,144047.23,High
2,250.37,1134.15,154356.49,High
3,349,798,51814.4,Low
3,349,798,51814.4,Low
3,549,798,52109.76,Low
3,549,798,52124.23,Low
3,549,798,52124.23,Low
3,549,798,52124.23,Low
3,549,798,52670.99,Low
3,549,798,52670.99,Low
3,549,798,53264.54,Low
3,398,600,53541.05,Low
3,398,600,53602.84,Low
3,549,798,54227.38,Low
3,549,798,54227.38,Low
3,549,798,54227.38,Low
3,549,598,54243.06,Low
3,549,798,54470.95,Low
3,549,798,54517.14,Low
3,549,798,54517.14,Low
3,549,798,54517.14,Low
3,349,798,54560.25,Low
3,349,798,54560.25,Low
3,549,798,54565.4,Low
3,489.76,598,54622.19,Low
3,598,800,54631.04,Low
3,397.07,678.26,54804.45,Low
3,481.84,798,54822.55,Low
3,481.84,798,54822.55,Low
3,481.84,798,54822.55,Low
3,549,798,54887.12,Low
3,549,798,54887.12,Low
3,1000,0,112034.58,High
3,1000,0,112034.58,High
3,1000,0,112034.58,High
3,1000,0,112034.58,High
3,1000,0,112034.58,High
3,1000,0,112034.58,High
3,1000,0,112034.58,High
3,1000,0,112034.58,High
3,1000,0,112034.58,High
3,1000,0,112034.58,High
3,1000,0,112034.58,High
3,1000,0,112034.58,High
3,1000,0,112070.67,High
3,1000,0,112106.16,High
3,1000,0,112106.16,High
3,1000,0,112106.16,High
3,1000,0,112106.16,High
3,1000,0,112106.16,High
3,1000,0,112106.16,High
3,1000,0,112106.16,High
3,1000,0,112106.16,High
3,1000,0,112106.16,High
3,1000,0,112106.16,High
3,1000,0,112173.81,High
3,1000,0,112173.81,High
3,1000,0,112173.81,High
3,1000,0,112173.81,High
3,1000,0,112173.81,High
3,1000,0,112173.81,High
3,1000,0,112173.81,High
4,123.26,1272.05,38315.64,Low
4,52.62,1288.09,38810.93,Low
4,197.56,1295.99,39740.12,Low
4,175.78,1208.35,39753.27,Low
4,825.35,757.85,39978.65,Low
4,792.38,811,40068.12,Low
4,731.09,764.82,40364.96,Low
4,577.47,1357.35,40597.52,Low
4,582.37,1220.9,41056.88,Low
4,72.93,1238.43,41390.33,Low
4,659.09,1338.17,41405.84,Low
4,845.51,843.84,41488.68,Low
4,714.78,1327.95,41535.15,Low
4,573.51,1288.57,41830.32,Low
4,772.3,1327.94,41910.87,Low
4,300.07,1202.51,41989.22,Low
4,447.59,1265.49,42005.14,Low
4,621.24,1401.14,42116.08,Low
4,723.75,1405.73,42313.87,Low
4,192.13,1349.85,42388.22,Low
4,145.13,1143.82,42389.49,Low
4,645.42,797.53,42416.62,Low
4,273.69,1253.78,42485.77,Low
4,124.25,1367.42,42549.89,Low
4,398,1200,42603.27,Low
4,598,1200,42652.82,Low
4,358.19,1333.37,42772.02,Low
4,680.36,1347.75,42811.58,Low
4,537.48,1414,43151.31,Low
4,817.5,700.51,43193.48,Low
4,1198,0,108813.93,High
4,1198,0,108820.37,High
4,1198,0,108820.37,High
4,1198,0,108820.37,High
4,1198,0,108820.37,High
4,1198,0,108820.37,High
4,1198,0,108820.37,High
4,1198,0,108826.61,High
4,1198,0,108826.61,High
4,798,0,108829.45,High
4,1300,0,108835.76,High
4,1198,0,108842.72,High
4,1400,0,108845.36,High
4,1398,0,108848.29,High
4,1198,0,108881.95,High
4,1198,0,108888.54,High
4,1198,0,108906.29,High
4,1198,0,108928.05,High
4,1198,0,108937.64,High
4,1198,0,108964.95,High
4,1198,0,108980.67,High
4,1198,0,108980.67,High
4,1198,0,108980.67,High
4,1198,0,109005.05,High
4,1198,0,109013.22,High
4,1414,0,109030.49,High
4,1198,0,109049.9,High
4,1300,0,109211.7,High
4,1276.12,0,109301.88,High
4,1398,0,109359.17,High
